VEHICLE_KEY,DRIVER_KEY,COLLISION_INDEX,VEHICLE_REFERENCE,ENGINE_CAPACITY_CC,AGE_OF_VEHICLE,VEHICLE_COUNT
211,62,2024421429833,1,1248,16,1
210,49,2024991450135,1,1499,4,1
210,47,2024545528824,2,1248,6,1
207,21,2024361488317,2,1248,13,1
207,48,2024440046150,1,1499,1,1
210,49,2024421468986,1,1686,21,1
34,55,202460Q122137,3,1199,4,1
205,48,2024010512289,1,-1,3,1
31,95,2024320041943,3,-1,-1,1
211,46,2024161417904,1,1499,4,1
204,44,2024010529178,1,1248,9,1
211,52,2024522401126,2,1499,3,1
26,64,2024041397931,1,1499,3,1
210,55,2024231471093,2,1248,9,1
33,30,2024631478441,1,1199,3,1
208,53,2024531436018,1,1499,1,1
30,14,2024451458087,1,1499,3,1
32,45,2024070545344,2,-1,-1,1
207,55,2024430029071,1,1248,15,1
34,52,2024501444797,1,-1,-1,1
203,67,2024201433797,2,1248,17,1
207,46,2024010540602,2,1499,4,1
203,47,2024361450504,1,1499,2,1
212,43,2024520002434,1,1499,2,1
210,53,2024131482537,2,1499,3,1
213,52,2024311409586,1,1560,5,1
26,44,2024440505897,1,-1,-1,1
210,41,2024421431620,2,1248,16,1
207,15,2024991551909,2,1499,1,1
35,43,2024461404073,3,-1,-1,1
210,55,2024401430396,2,1248,19,1
212,47,2024351537229,2,1499,4,1
210,54,2024991458592,2,1598,7,1
32,46,2024371470709,2,-1,-1,1
204,54,2024122400080,2,1248,13,1
33,54,2024351459939,1,-1,-1,1
35,55,2024501409911,2,1499,5,1
211,50,2024101440121,1,1499,5,1
210,67,2024440313338,2,1499,4,1
33,54,2024161502139,1,-1,-1,1
210,53,2024461483067,2,1499,3,1
209,41,2024361484331,2,1248,14,1
204,53,2024471512525,1,1248,13,1
207,95,2024471400959,2,1499,4,1
211,54,2024041471751,1,1499,4,1
32,61,2024622400387,3,-1,-1,1
209,51,202454D124924,2,1248,10,1
204,55,2024371527400,1,1499,3,1
210,52,2024122400188,2,1248,16,1
203,53,2024010541519,2,1499,2,1
207,42,2024991524078,1,1248,10,1
207,44,2024440153707,1,1598,9,1
208,50,202454E232924,2,1499,1,1
211,67,2024052402377,1,1499,5,1
210,47,2024451496313,1,1499,2,1
31,64,2024991464082,2,1199,5,1
26,55,2024111491674,1,1499,2,1
190,49,2024201454799,1,1499,4,1
207,59,2024231464773,1,1499,3,1
210,39,2024471406997,2,1560,4,1
207,49,2024440307399,1,1248,8,1
31,95,2024010551058,2,1199,4,1
209,95,2024131434175,4,1248,9,1
34,14,2024522403086,1,1199,4,1
205,95,2024010551257,2,1560,4,1
211,52,2024211519429,1,1499,3,1
210,55,2024010516762,3,1499,1,1
207,47,2024631507676,1,1499,4,1
212,46,2024430506848,4,1248,13,1
207,53,2024501519515,1,1560,5,1
29,48,2024351530799,2,-1,-1,1
32,53,2024340WN7352,2,-1,-1,1
212,18,2024522403158,1,1248,9,1
207,51,2024201441367,1,1598,7,1
212,51,2024401438246,2,1499,1,1
209,44,2024440234510,1,1686,20,1
209,46,2024440223503,3,1560,5,1
207,43,2024610031424,1,1598,11,1
204,61,2024471524604,1,1248,11,1
33,43,2024371460523,1,-1,-1,1
212,44,2024552400563,2,1560,5,1
207,45,2024371504840,1,1248,14,1
29,20,2024101522382,1,1499,4,1
210,41,2024302500210,1,1499,0,1
207,65,2024061514626,2,1499,1,1
210,46,202454B619624,2,1499,1,1
211,21,2024041417616,1,1248,11,1
207,21,2024471453774,1,1499,3,1
209,95,2024991447786,1,1248,13,1
204,54,2024552400479,1,1598,9,1
34,20,2024461399250,2,1199,5,1
210,44,2024421430585,2,1499,1,1
32,49,202454B755224,2,-1,-1,1
207,54,2024010525610,2,1598,7,1
212,52,2024141456109,1,1499,5,1
212,47,2024010544921,1,1499,0,1
205,67,2024101439083,1,1499,4,1
205,52,2024061478587,1,1248,13,1
210,55,2024070589521,1,1499,3,1
31,44,2024991408515,2,-1,-1,1
66,49,2024401405484,2,-1,-1,1
31,20,2024461517028,5,1499,3,1
210,53,2024461499981,2,1499,2,1
210,12,2024545528824,3,1248,7,1
207,9,2024131442313,2,1248,13,1
210,44,2024340NN0992,2,1499,4,1
210,13,2024552401037,2,1248,17,1
209,95,2024010521381,2,1499,4,1
207,61,2024351435894,1,2370,26,1
33,14,2024501515744,2,1560,11,1
26,20,2024461402223,1,1560,10,1
29,64,2024131448965,1,1984,10,1
35,17,2024010522759,2,1498,5,1
31,95,2024520002958,2,1498,6,1
32,14,2024451502639,3,1969,8,1
29,52,2024061408217,1,1560,11,1
30,67,2024461510226,1,1969,6,1
34,55,2024430123241,1,1969,9,1
29,30,2024070891801,1,1498,6,1
32,17,2024501438857,2,1984,11,1
29,55,2024221433488,2,1560,10,1
26,55,2024161535866,1,1969,5,1
34,47,2024141480160,2,1498,6,1
32,20,2024161529512,3,1984,10,1
32,15,2024161506576,1,1969,8,1
32,48,2024131431931,2,1969,5,1
32,46,2024010543861,1,1969,5,1
29,49,2024141532679,1,1560,11,1
31,49,2024440011858,2,1560,10,1
33,12,2024101484110,1,1969,10,1
33,13,2024421474043,1,1498,6,1
26,20,2024070730868,1,1969,8,1
29,23,2024401438404,1,1969,7,1
31,95,2024461463292,2,1969,7,1
32,44,2024131418634,2,1969,8,1
29,17,2024440449676,2,1498,7,1
29,67,2024161424402,2,1969,9,1
27,22,2024221407685,1,1984,11,1
33,17,2024010519019,1,1969,7,1
34,52,2024522403285,3,1969,6,1
31,95,2024991494218,2,1984,11,1
29,55,2024201475333,1,1596,10,1
31,95,2024991459097,2,1560,10,1
31,95,2024461483674,2,1596,11,1
33,17,2024371451735,2,1560,9,1
32,14,2024440090783,3,1560,10,1
33,17,2024311499665,2,1969,8,1
25,51,2024010518684,2,1969,9,1
26,10,2024302401504,2,1560,10,1
29,61,2024471452712,2,1596,11,1
31,55,202460Q102751,3,1498,7,1
26,49,2024201435168,2,1560,11,1
29,20,2024471419595,2,1969,7,1
31,95,2024440508261,4,1948,21,1
32,55,2024010521852,1,1498,5,1
33,14,2024332400611,1,1969,7,1
32,52,2024401545136,3,1969,9,1
32,20,2024211478969,1,1560,11,1
31,46,2024332401077,2,1969,8,1
32,46,202454E247124,1,1560,10,1
29,46,2024302500278,1,1969,6,1
34,46,2024332400780,1,1969,6,1
32,16,2024211474209,2,1969,6,1
32,49,2024440178596,1,1969,8,1
32,64,2024991444358,3,1560,10,1
30,46,2024122400507,2,1969,7,1
32,52,2024351493591,2,1560,9,1
32,55,2024302400962,3,1969,8,1
29,17,2024991453232,1,1969,8,1
26,17,2024131443678,1,1969,9,1
29,95,2024131528734,1,1560,11,1
31,27,2024221474303,2,1969,9,1
31,95,2024201532611,13,1969,9,1
26,17,2024101496969,1,1560,9,1
33,30,2024631439144,1,1560,10,1
33,95,2024010514189,2,1498,6,1
26,33,2024161516118,1,1560,11,1
29,48,2024101397456,1,1560,12,1
29,21,2024070726166,1,1969,5,1
26,64,2024471522958,1,1588,25,1
29,61,2024221490462,1,1969,6,1
34,49,2024131398188,2,1969,7,1
34,49,2024201445001,2,1969,9,1
126,40,2024501495997,1,49,22,1
145,55,2024031494268,2,598,25,1
156,17,2024141511106,2,599,14,1
139,53,2024440355852,1,600,12,1
141,95,2024010518353,4,600,12,1
134,40,2024622400351,1,49,0,1
132,40,2024421413631,2,49,8,1
131,40,2024221498692,1,49,11,1
34,49,2024221431632,1,-1,3,1
34,49,2024010518659,1,-1,4,1
33,17,2024471485233,1,-1,1,1
33,53,2024531502515,2,-1,1,1
33,52,2024351479520,1,-1,3,1
29,45,2024010526269,1,-1,1,1
32,14,2024211429019,1,-1,4,1
29,52,2024070600867,2,-1,0,1
34,46,2024622400581,2,-1,3,1
29,49,2024451499295,1,-1,2,1
33,53,2024101449576,2,-1,3,1
29,17,2024010524734,1,-1,5,1
30,17,2024411474377,2,-1,1,1
34,20,2024161513693,1,-1,2,1
34,49,2024421470427,2,-1,1,1
32,49,2024071065145,2,-1,4,1
34,44,2024010542249,1,-1,2,1
32,49,2024461533849,1,-1,2,1
31,95,2024061536294,2,-1,2,1
29,49,2024522402220,1,-1,2,1
32,55,2024071022964,2,-1,1,1
26,14,2024211494667,1,-1,3,1
26,32,2024070499976,1,-1,3,1
30,95,2024070958769,1,-1,5,1
32,20,2024231471534,2,-1,0,1
31,95,2024052401118,2,-1,1,1
32,13,2024161420091,2,-1,2,1
5,38,2024461423807,2,4800,3,1
35,43,2024471485156,2,2495,40,1
32,52,2024010515251,1,1998,8,1
34,20,202417M118824,1,1461,9,1
29,52,2024461400807,2,1198,9,1
26,61,2024131483799,1,1198,7,1
29,49,2024231447587,2,1198,9,1
33,49,2024161492951,2,1461,8,1
29,49,2024041512901,1,1618,8,1
29,40,2024421437988,1,1198,8,1
